address,decorated
0x00430F8E,___from_strstr_to_strchr
0x004329D7,__NLG_Return
0x0043A547,__NLG_Dispatch
0x0043A547,__NLG_Dispatch2
0x0043A552,__NLG_Return2
0x004578C4,__sqrt_common
0x004579EF,__acos_default
0x00457AC8,__acos_pentium4
0x0045805F,__cos_default
0x00458118,__cos_pentium4
0x004582FF,__sin_default
0x004583B8,__sin_pentium4
0x00467A9F,__rttospopde
0x00467AA4,__rttospop
0x00467AC1,__rtnospopde
0x00467AC8,__rtzeropop
0x00467ACA,__rtzeronpop
0x00467ADD,__rtonepop
0x00467BA2,__rtindfnpop
0x00467BB3,__rttosnpopde
0x00467BDD,__rtchsifneg
0x0046B29F,__log10_default
0x0046E008,__log10_pentium4
0x0046E2F7,__rtinfpopse
0x0046E2F9,__rtinfnpopse
0x0046E309,__fFLN
0x0046E3BE,__rtinfpop
0x0046E3C0,__rtinfnpop
0x0046E3DD,__ffexpm1
0x00470106,__alloca_probe_8
0x00473000,__imp__RegSetValueExA@24
0x00473004,__imp__RegDeleteValueA@8
0x00473008,__imp__RegCreateKeyExA@36
0x0047300C,__imp__RegQueryValueExA@24
0x00473010,__imp__RegOpenKeyExA@20
0x00473014,__imp__RegCloseKey@4
0x00473018,ADVAPI32_NULL_THUNK_DATA
0x0047301C,__imp__DirectDrawEnumerateExA@12
0x00473020,__imp__DirectDrawCreateEx@16
0x00473024,DDRAW_NULL_THUNK_DATA
0x00473028,__imp__DirectInputCreateEx@20
0x0047302C,DINPUT_NULL_THUNK_DATA
0x00473030,__imp__DirectSoundCreate@12
0x00473034,DSOUND_NULL_THUNK_DATA
0x00473038,__imp__StretchBlt@44
0x0047303C,__imp__GetPixel@12
0x00473040,__imp__GetObjectA@12
0x00473044,__imp__GetDIBColorTable@16
0x00473048,__imp__SelectObject@8
0x0047304C,__imp__DeleteObject@4
0x00473050,__imp__DeleteDC@4
0x00473054,__imp__CreateCompatibleDC@4
0x00473058,__imp__BitBlt@36
0x0047305C,__imp__ExtTextOutA@32
0x00473060,__imp__SetTextColor@8
0x00473064,__imp__SetBkMode@8
0x00473068,__imp__GetStockObject@4
0x0047306C,__imp__SetPixel@16
0x00473070,GDI32_NULL_THUNK_DATA
0x00473074,__imp__GetTickCount@0
0x00473078,__imp__GetModuleFileNameA@12
0x0047307C,__imp__CloseHandle@4
0x00473080,__imp__GetLastError@0
0x00473084,__imp__ReleaseMutex@4
0x00473088,__imp__CreateMutexA@12
0x0047308C,__imp__FlushFileBuffers@4
0x00473090,__imp__DecodePointer@4
0x00473094,__imp__SetFilePointerEx@20
0x00473098,__imp__GetFileSizeEx@8
0x0047309C,__imp__GetStringTypeW@16
0x004730A0,__imp__SetStdHandle@8
0x004730A4,__imp__OutputDebugStringW@4
0x004730A8,__imp__SetConsoleCtrlHandler@8
0x004730AC,__imp__GetProcessHeap@0
0x004730B0,__imp__EnumSystemLocalesW@8
0x004730B4,__imp__GetUserDefaultLCID@0
0x004730B8,__imp__IsValidLocale@8
0x004730BC,__imp__GetLocaleInfoW@16
0x004730C0,__imp__LCMapStringW@24
0x004730C4,__imp__CompareStringW@24
0x004730C8,__imp___lclose@4
0x004730CC,__imp__GetDateFormatW@24
0x004730D0,__imp__SetEnvironmentVariableW@8
0x004730D4,__imp__FreeEnvironmentStringsW@4
0x004730D8,__imp__GetEnvironmentStringsW@0
0x004730DC,__imp__WideCharToMultiByte@32
0x004730E0,__imp__MultiByteToWideChar@24
0x004730E4,__imp__GetCommandLineW@0
0x004730E8,__imp__GetCommandLineA@0
0x004730EC,__imp__GetCPInfo@8
0x004730F0,__imp__GetOEMCP@0
0x004730F4,__imp__GetACP@0
0x004730F8,__imp__IsValidCodePage@4
0x004730FC,__imp__FindNextFileW@8
0x00473100,__imp__FindFirstFileExW@24
0x00473104,__imp__FindClose@4
0x00473108,__imp__GetFileType@4
0x0047310C,__imp__GetCurrentThread@0
0x00473110,__imp__HeapAlloc@12
0x00473114,__imp__HeapFree@12
0x00473118,__imp__WriteFile@20
0x0047311C,__imp__GetStdHandle@4
0x00473120,__imp__GetModuleFileNameW@12
0x00473124,__imp__GetModuleHandleExW@12
0x00473128,__imp__ExitProcess@4
0x0047312C,__imp__LoadLibraryExW@12
0x00473130,__imp__GetProcAddress@8
0x00473134,__imp__FreeLibrary@4
0x00473138,__imp___lread@12
0x0047313C,__imp___lopen@8
0x00473140,__imp__LockResource@4
0x00473144,__imp__LoadResource@8
0x00473148,__imp__OutputDebugStringA@4
0x0047314C,__imp__lstrcmpiA@8
0x00473150,__imp__lstrcpynA@12
0x00473154,__imp__GetModuleHandleA@4
0x00473158,__imp__lstrlenA@4
0x0047315C,__imp__lstrcatA@8
0x00473160,__imp__lstrcpyA@8
0x00473164,__imp__GetConsoleOutputCP@0
0x00473168,__imp__WriteConsoleW@20
0x0047316C,__imp__GetConsoleMode@8
0x00473170,__imp__FindResourceA@12
0x00473174,__imp__CreateFileW@28
0x00473178,__imp__HeapSize@12
0x0047317C,__imp__HeapReAlloc@16
0x00473180,__imp__ReadFile@20
0x00473184,__imp__ReadConsoleW@20
0x00473188,__imp__SetEndOfFile@4
0x0047318C,__imp__GetTimeFormatW@24
0x00473190,__imp__TlsFree@4
0x00473194,__imp__TlsSetValue@8
0x00473198,__imp__UnhandledExceptionFilter@4
0x0047319C,__imp__SetUnhandledExceptionFilter@4
0x004731A0,__imp__GetCurrentProcess@0
0x004731A4,__imp__TerminateProcess@8
0x004731A8,__imp__IsProcessorFeaturePresent@4
0x004731AC,__imp__IsDebuggerPresent@0
0x004731B0,__imp__GetStartupInfoW@4
0x004731B4,__imp__GetModuleHandleW@4
0x004731B8,__imp__QueryPerformanceCounter@4
0x004731BC,__imp__GetCurrentProcessId@0
0x004731C0,__imp__GetCurrentThreadId@0
0x004731C4,__imp__GetSystemTimeAsFileTime@4
0x004731C8,__imp__InitializeSListHead@4
0x004731CC,__imp__RtlUnwind@16
0x004731D0,__imp__RaiseException@16
0x004731D4,__imp__InterlockedPushEntrySList@8
0x004731D8,__imp__InterlockedFlushSList@4
0x004731DC,__imp__SetLastError@4
0x004731E0,__imp__EncodePointer@4
0x004731E4,__imp__EnterCriticalSection@4
0x004731E8,__imp__LeaveCriticalSection@4
0x004731EC,__imp__DeleteCriticalSection@4
0x004731F0,__imp__InitializeCriticalSectionAndSpinCount@8
0x004731F4,__imp__TlsAlloc@0
0x004731F8,__imp__TlsGetValue@4
0x004731FC,KERNEL32_NULL_THUNK_DATA
0x00473200,__imp__ShellExecuteA@24
0x00473204,SHELL32_NULL_THUNK_DATA
0x00473208,__imp__GetWindowTextA@12
0x0047320C,__imp__SystemParametersInfoA@16
0x00473210,__imp__PostMessageA@16
0x00473214,__imp__LoadImageA@24
0x00473218,__imp__ClientToScreen@8
0x0047321C,__imp__GetClientRect@8
0x00473220,__imp__RedrawWindow@16
0x00473224,__imp__DrawMenuBar@4
0x00473228,__imp__GetDesktopWindow@0
0x0047322C,__imp__SetWindowTextA@8
0x00473230,__imp__GetForegroundWindow@0
0x00473234,__imp__EnableWindow@8
0x00473238,__imp__GetDlgItem@8
0x0047323C,__imp__wsprintfA
0x00473240,__imp__LoadIconA@8
0x00473244,__imp__LoadCursorA@8
0x00473248,__imp__SetWindowLongA@12
0x0047324C,__imp__GetWindowLongA@8
0x00473250,__imp__SetRect@20
0x00473254,__imp__SetCursor@4
0x00473258,__imp__MessageBoxA@16
0x0047325C,__imp__AdjustWindowRectEx@16
0x00473260,__imp__GetWindowRect@8
0x00473264,__imp__UpdateWindow@4
0x00473268,__imp__GetMenu@4
0x0047326C,__imp__GetSystemMetrics@4
0x00473270,__imp__TranslateAcceleratorA@12
0x00473274,__imp__LoadAcceleratorsA@8
0x00473278,__imp__EndDialog@8
0x0047327C,__imp__DialogBoxParamA@20
0x00473280,__imp__SetWindowPos@28
0x00473284,__imp__DestroyWindow@4
0x00473288,__imp__CreateWindowExA@48
0x0047328C,__imp__RegisterClassA@4
0x00473290,__imp__PostQuitMessage@4
0x00473294,__imp__DefWindowProcA@16
0x00473298,__imp__SendMessageA@16
0x0047329C,__imp__PeekMessageA@20
0x004732A0,__imp__DispatchMessageA@4
0x004732A4,__imp__TranslateMessage@4
0x004732A8,__imp__GetMessageA@16
0x004732AC,USER32_NULL_THUNK_DATA
0x004732B0,__imp__mciSendStringA@16
0x004732B4,__imp__mmioOpenA@12
0x004732B8,__imp__mmioRead@12
0x004732BC,__imp__mmioAscend@12
0x004732C0,__imp__mmioDescend@16
0x004732C4,__imp__timeGetTime@0
0x004732C8,WINMM_NULL_THUNK_DATA
0x004732CC,__imp__DirectXFileCreate@4
0x004732D0,d3dxof_NULL_THUNK_DATA
0x004732D4,___guard_check_icall_fptr
0x004732D8,___guard_xfg_check_icall_fptr
0x004732DC,___xc_a
0x004732E8,___xc_z
0x004732EC,___xi_a
0x004732F8,___acrt_stdio_initializer
0x004732FC,___acrt_tran_sse2_initializer
