address,size,module,game,decorated,name
0x00401000,0,,0,_DirectDrawEnumerateExA@12,
0x00401006,0,,0,_DirectDrawCreateEx@16,
0x004022D0,0,,0,_DirectSoundCreate@12,
0x004022D6,0,,0,_DirectXFileCreate@4,
0x00402300,441,d3dapp.obj,1,?Initialize3DEnvironment@CD3DApplication@@AAEJXZ,CD3DApplication::Initialize3DEnvironment
0x004024C0,393,d3dapp.obj,1,?Change3DEnvironment@CD3DApplication@@AAEJXZ,CD3DApplication::Change3DEnvironment
0x00402650,684,d3dapp.obj,1,?Render3DEnvironment@CD3DApplication@@AAEJXZ,CD3DApplication::Render3DEnvironment
0x00402900,129,d3dapp.obj,1,?Cleanup3DEnvironment@CD3DApplication@@AAEXXZ,CD3DApplication::Cleanup3DEnvironment
0x00402990,928,d3dapp.obj,1,?DisplayFrameworkError@CD3DApplication@@AAEXJK@Z,CD3DApplication::DisplayFrameworkError
0x00402D30,33,d3dapp.obj,1,?OnQuerySuspend@CD3DApplication@@MAEJK@Z,CD3DApplication::OnQuerySuspend
0x00402D60,33,d3dapp.obj,1,?OnResumeSuspend@CD3DApplication@@MAEJK@Z,CD3DApplication::OnResumeSuspend
0x00402D90,258,d3dapp.obj,1,?SetViewParams@CD3DApplication@@IAEXPAU_D3DVECTOR@@00M@Z,CD3DApplication::SetViewParams
0x00402EA0,294,d3dapp.obj,1,?UpdateStats@CD3DApplication@@IAEXXZ,CD3DApplication::UpdateStats
0x00402FD0,269,d3dapp.obj,1,?OutputText@CD3DApplication@@IAEXKKPAD@Z,CD3DApplication::OutputText
0x004030E0,884,d3dapp.obj,1,?Create@CD3DApplication@@UAEJPAUHINSTANCE__@@PAD@Z,CD3DApplication::Create
0x00403460,241,d3dapp.obj,1,?Run@CD3DApplication@@UAEHXZ,CD3DApplication::Run
0x00403560,1480,d3dapp.obj,1,?MsgProc@CD3DApplication@@UAEJPAUHWND__@@IIJ@Z,CD3DApplication::MsgProc
0x00403B30,177,d3dapp.obj,1,?Pause@CD3DApplication@@UAEXH@Z,CD3DApplication::Pause
0x00403BF0,342,d3dapp.obj,1,??0CD3DApplication@@QAE@XZ,CD3DApplication::CD3DApplication
0x00403D50,17,d3dapp.obj,1,?GetHWND@CD3DApplication@@QBEPAUHWND__@@XZ,CD3DApplication::GetHWND
0x00403D70,17,d3dapp.obj,1,?GetD3DDevice@CD3DApplication@@QBEPAUIDirect3DDevice7@@XZ,CD3DApplication::GetD3DDevice
0x00403D90,17,d3dapp.obj,1,?GetDDraw@CD3DApplication@@QBEPAUIDirectDraw7@@XZ,CD3DApplication::GetDDraw
0x00403DB0,17,d3dapp.obj,1,?GetBackBuffer@CD3DApplication@@QBEPAUIDirectDrawSurface7@@XZ,CD3DApplication::GetBackBuffer
0x00403DD0,22,d3dapp.obj,1,?GetScreenWidth@CD3DApplication@@QBEHXZ,CD3DApplication::GetScreenWidth
0x00403DF0,22,d3dapp.obj,1,?GetScreenHeight@CD3DApplication@@QBEHXZ,CD3DApplication::GetScreenHeight
0x00403E10,31,d3dapp.obj,1,?GetFPS@CD3DApplication@@QBEHXZ,CD3DApplication::GetFPS
0x00403E30,36,d3dapp.obj,1,?DisplayFPS@CD3DApplication@@QBEHXZ,CD3DApplication::DisplayFPS
0x00403F10,14,d3dapp.obj,1,??0_D3DMATRIX@@QAE@XZ,_D3DMATRIX::_D3DMATRIX
0x00403F20,54,d3dapp.obj,1,??0_D3DVECTOR@@QAE@MMM@Z,_D3DVECTOR::_D3DVECTOR
0x00403F60,14,d3dapp.obj,1,??0_D3DVECTOR@@QAE@XZ,_D3DVECTOR::_D3DVECTOR
0x00403F70,22,d3dapp.obj,1,??A_D3DVECTOR@@QAEAAMH@Z,_D3DVECTOR::operator[]
0x00403F90,22,d3dapp.obj,1,??A_D3DVECTOR@@QBEABMH@Z,_D3DVECTOR::operator[]
0x00403FB0,72,d3dapp.obj,1,??D@YA?AU_D3DVECTOR@@ABU0@M@Z,operator*
